Invoice ID,City,Customer type,Gender,Product line,Quantity,Sales,Date,Payment
129-29-8530,Yangon,Member,Female,Sports and travel,5,328.755,3/10/2019,Ewallet
272-65-1806,Yangon,Member,Female,Electronic accessories,9,575.316,1/15/2019,Ewallet
333-73-7901,Naypyitaw,Member,Female,Health and beauty,8,461.328,3/23/2019,Ewallet
777-82-7220,Mandalay,Member,Female,Home and lifestyle,8,253.008,3/3/2019,Cash
280-35-5823,Mandalay,Member,Female,Home and lifestyle,1,91.056,1/17/2019,Ewallet
554-53-8700,Naypyitaw,Member,Female,Home and lifestyle,2,117.831,2/2/2019,Cash
354-25-5821,Mandalay,Member,Female,Sports and travel,6,435.456,2/8/2019,Cash
228-96-1411,Naypyitaw,Member,Female,Food and beverages,8,829.08,3/4/2019,Cash
617-15-4209,Naypyitaw,Member,Female,Health and beauty,2,32.277,3/16/2019,Cash
132-32-9879,Mandalay,Member,Female,Electronic accessories,4,394.632,3/9/2019,Cash
370-41-7321,Mandalay,Member,Female,Health and beauty,9,535.7205,2/27/2019,Credit card
727-46-3608,Mandalay,Member,Female,Food and beverages,9,189.0945,2/6/2019,Ewallet
669-54-1719,Mandalay,Member,Female,Electronic accessories,6,119.259,2/10/2019,Credit card
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,10,867.615,3/19/2019,Ewallet
326-78-5178,Naypyitaw,Member,Female,Food and beverages,7,671.79,2/3/2019,Cash
162-48-8011,Yangon,Member,Female,Food and beverages,5,234.0975,2/10/2019,Cash
616-24-2851,Mandalay,Member,Female,Fashion accessories,4,75.054,3/22/2019,Ewallet
778-71-5554,Naypyitaw,Member,Female,Fashion accessories,1,16.2015,1/25/2019,Credit card
242-55-6721,Mandalay,Member,Female,Home and lifestyle,2,33.936,3/7/2019,Ewallet
399-46-5918,Naypyitaw,Member,Female,Electronic accessories,8,722.232,2/28/2019,Cash
106-35-6779,Yangon,Member,Female,Home and lifestyle,2,93.114,3/27/2019,Cash
635-40-6220,Yangon,Member,Female,Health and beauty,8,752.64,2/7/2019,Ewallet
817-48-8732,Yangon,Member,Female,Home and lifestyle,10,759.675,1/20/2019,Cash
120-06-4233,Naypyitaw,Member,Female,Electronic accessories,6,192.843,3/12/2019,Cash
285-68-5083,Naypyitaw,Member,Female,Sports and travel,3,77.931,2/15/2019,Credit card
803-83-5989,Naypyitaw,Member,Female,Home and lifestyle,6,351.099,2/24/2019,Ewallet
347-34-2234,Mandalay,Member,Female,Sports and travel,9,520.4115,2/3/2019,Ewallet
199-75-8169,Yangon,Member,Female,Sports and travel,10,166.005,3/6/2019,Credit card
853-23-2453,Mandalay,Member,Female,Health and beauty,4,318.108,2/14/2019,Cash
877-22-3308,Yangon,Member,Female,Health and beauty,10,166.635,3/13/2019,Cash
838-78-4295,Naypyitaw,Member,Female,Health and beauty,2,70.287,2/10/2019,Ewallet
109-28-2512,Mandalay,Member,Female,Fashion accessories,6,614.943,1/7/2019,Ewallet
232-11-3025,Yangon,Member,Female,Sports and travel,10,827.085,1/24/2019,Cash
382-03-4532,Yangon,Member,Female,Health and beauty,1,19.2465,2/2/2019,Cash
393-65-2792,Naypyitaw,Member,Female,Food and beverages,10,939.54,1/6/2019,Credit card
796-12-2025,Naypyitaw,Member,Female,Fashion accessories,10,652.26,2/11/2019,Cash
510-95-6347,Mandalay,Member,Female,Food and beverages,3,152.838,3/5/2019,Ewallet
841-35-6630,Naypyitaw,Member,Female,Electronic accessories,6,478.233,3/9/2019,Cash
287-21-9091,Yangon,Member,Female,Home and lifestyle,9,705.6315,1/22/2019,Ewallet
732-94-0499,Naypyitaw,Member,Female,Electronic accessories,10,437.325,1/13/2019,Credit card
263-10-3913,Naypyitaw,Member,Female,Fashion accessories,9,463.428,1/9/2019,Credit card
381-20-0914,Yangon,Member,Female,Fashion accessories,9,189.0945,1/12/2019,Credit card
829-49-1914,Naypyitaw,Member,Female,Food and beverages,10,822.255,3/5/2019,Ewallet
756-01-7507,Naypyitaw,Member,Female,Health and beauty,5,106.995,1/22/2019,Cash
870-72-4431,Naypyitaw,Member,Female,Health and beauty,6,624.897,1/21/2019,Credit card
847-38-7188,Mandalay,Member,Female,Food and beverages,3,304.542,1/26/2019,Ewallet
480-63-2856,Naypyitaw,Member,Female,Food and beverages,8,161.7,1/23/2019,Ewallet
787-56-0757,Naypyitaw,Member,Female,Food and beverages,4,337.512,2/23/2019,Credit card
360-39-5055,Naypyitaw,Member,Female,Sports and travel,5,256.7775,3/9/2019,Cash
730-50-9884,Naypyitaw,Member,Female,Sports and travel,7,610.491,3/5/2019,Ewallet
362-58-8315,Naypyitaw,Member,Female,Fashion accessories,5,401.73,3/25/2019,Cash
633-44-8566,Yangon,Member,Female,Food and beverages,7,362.943,3/27/2019,Credit card
504-35-8843,Yangon,Member,Female,Sports and travel,1,44.5935,1/2/2019,Cash
318-68-5053,Mandalay,Member,Female,Health and beauty,6,485.037,2/27/2019,Cash
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,4,198.996,1/23/2019,Cash
225-32-0908,Naypyitaw,Member,Female,Sports and travel,10,471.03,1/26/2019,Ewallet
873-51-0671,Yangon,Member,Female,Sports and travel,7,161.553,1/10/2019,Ewallet
152-08-9985,Mandalay,Member,Female,Health and beauty,9,608.202,3/12/2019,Credit card
512-91-0811,Naypyitaw,Member,Female,Health and beauty,1,94.2375,2/6/2019,Credit card
594-34-4444,Yangon,Member,Female,Electronic accessories,1,102.018,3/8/2019,Ewallet
766-85-7061,Mandalay,Member,Female,Health and beauty,10,922.635,3/29/2019,Ewallet
871-39-9221,Naypyitaw,Member,Female,Electronic accessories,6,78.435,2/9/2019,Cash
865-92-6136,Yangon,Member,Female,Food and beverages,3,166.1625,3/23/2019,Ewallet
733-01-9107,Mandalay,Member,Female,Home and lifestyle,6,521.01,3/5/2019,Cash
163-56-7055,Naypyitaw,Member,Female,Fashion accessories,1,51.1455,3/26/2019,Cash
189-98-2939,Naypyitaw,Member,Female,Fashion accessories,9,742.2975,3/1/2019,Cash
551-21-3069,Naypyitaw,Member,Female,Electronic accessories,9,218.0115,2/1/2019,Cash
212-62-1842,Yangon,Member,Female,Food and beverages,6,367.038,3/28/2019,Cash
716-39-1409,Mandalay,Member,Female,Health and beauty,7,223.0725,3/19/2019,Cash
704-48-3927,Yangon,Member,Female,Electronic accessories,10,931.035,1/12/2019,Ewallet
628-34-3388,Naypyitaw,Member,Female,Fashion accessories,6,172.494,1/5/2019,Credit card
630-74-5166,Yangon,Member,Female,Sports and travel,6,391.419,3/22/2019,Cash
588-01-7461,Naypyitaw,Member,Female,Food and beverages,9,321.111,3/24/2019,Cash
861-77-0145,Naypyitaw,Member,Female,Electronic accessories,10,860.685,3/3/2019,Cash
479-26-8945,Mandalay,Member,Female,Sports and travel,2,34.629,2/5/2019,Ewallet
210-67-5886,Naypyitaw,Member,Female,Health and beauty,3,309.3615,2/5/2019,Credit card
227-78-1148,Mandalay,Member,Female,Fashion accessories,7,535.374,2/15/2019,Cash
645-44-1170,Yangon,Member,Female,Home and lifestyle,9,548.7615,1/19/2019,Ewallet
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,9,763.4655,2/1/2019,Credit card
225-98-1496,Naypyitaw,Member,Female,Fashion accessories,3,85.113,3/2/2019,Credit card
291-32-1427,Mandalay,Member,Female,Fashion accessories,5,115.185,3/5/2019,Ewallet
659-65-8956,Mandalay,Member,Female,Fashion accessories,1,53.928,1/16/2019,Ewallet
642-32-2990,Yangon,Member,Female,Food and beverages,10,115.08,2/2/2019,Ewallet
378-24-2715,Mandalay,Member,Female,Home and lifestyle,2,112.224,1/20/2019,Ewallet
638-60-7125,Yangon,Member,Female,Electronic accessories,8,836.304,2/14/2019,Credit card
659-36-1684,Naypyitaw,Member,Female,Sports and travel,7,419.832,1/12/2019,Credit card
219-22-9386,Mandalay,Member,Female,Sports and travel,9,944.622,3/9/2019,Credit card
336-78-2147,Naypyitaw,Member,Female,Home and lifestyle,8,536.844,3/13/2019,Credit card
268-27-6179,Mandalay,Member,Female,Fashion accessories,8,474.348,3/9/2019,Ewallet
668-90-8900,Yangon,Member,Female,Home and lifestyle,7,688.6215,3/10/2019,Credit card
870-54-3162,Yangon,Member,Female,Sports and travel,5,169.3125,1/27/2019,Cash
189-08-9157,Naypyitaw,Member,Female,Fashion accessories,9,299.8485,1/8/2019,Credit card
663-86-9076,Naypyitaw,Member,Female,Food and beverages,8,575.736,1/8/2019,Ewallet
549-84-7482,Mandalay,Member,Female,Sports and travel,9,853.146,2/8/2019,Ewallet
191-10-6171,Mandalay,Normal,Female,Fashion accessories,7,291.207,1/25/2019,Cash
802-70-5316,Yangon,Member,Female,Sports and travel,6,580.419,3/6/2019,Cash
695-51-0018,Mandalay,Normal,Female,Sports and travel,4,146.328,2/10/2019,Cash
590-83-4591,Mandalay,Member,Female,Electronic accessories,6,550.935,2/17/2019,Credit card
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,6,512.19,3/8/2019,Ewallet
597-78-7908,Naypyitaw,Normal,Female,Fashion accessories,3,284.193,2/18/2019,Cash
700-81-1757,Yangon,Normal,Female,Electronic accessories,5,138.1275,1/18/2019,Credit card
354-39-5160,Yangon,Member,Female,Home and lifestyle,6,216.846,2/18/2019,Cash
241-72-9525,Mandalay,Normal,Female,Sports and travel,10,545.055,2/16/2019,Cash
575-30-8091,Yangon,Normal,Female,Sports and travel,8,609,3/16/2019,Ewallet
731-81-9469,Naypyitaw,Member,Female,Sports and travel,10,942.9,1/23/2019,Credit card
280-17-4359,Naypyitaw,Member,Male,Health and beauty,10,950.25,1/25/2019,Cash
338-65-2210,Naypyitaw,Member,Female,Health and beauty,10,720.3,2/5/2019,Cash
488-25-4221,Naypyitaw,Member,Female,Food and beverages,1,31.9305,2/22/2019,Credit card
239-10-7476,Yangon,Normal,Female,Home and lifestyle,6,491.085,1/21/2019,Ewallet
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,6,291.438,3/8/2019,Credit card
685-64-1609,Yangon,Member,Female,Fashion accessories,10,316.47,2/10/2019,Ewallet
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,4,277.788,3/19/2019,Credit card
262-47-2794,Mandalay,Member,Male,Home and lifestyle,8,603.624,3/6/2019,Credit card
238-49-0436,Yangon,Normal,Male,Health and beauty,8,272.664,3/27/2019,Credit card
608-96-3517,Mandalay,Member,Female,Fashion accessories,4,384.468,3/23/2019,Credit card
584-86-7256,Naypyitaw,Member,Male,Sports and travel,7,254.016,3/11/2019,Credit card
746-94-0204,Yangon,Normal,Male,Fashion accessories,9,786.618,1/29/2019,Credit card
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,6,103.824,2/7/2019,Ewallet
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,8,680.148,1/28/2019,Cash
782-95-9291,Yangon,Member,Male,Food and beverages,5,484.5225,2/20/2019,Credit card
279-74-2924,Mandalay,Member,Male,Electronic accessories,1,75.7785,1/4/2019,Cash
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,5,263.97,3/7/2019,Ewallet
743-04-1105,Mandalay,Member,Male,Health and beauty,9,918.729,3/30/2019,Ewallet
423-57-2993,Mandalay,Normal,Male,Sports and travel,6,588.357,3/27/2019,Ewallet
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,8,362.712,1/19/2019,Credit card
275-28-0149,Yangon,Normal,Male,Sports and travel,1,66.8745,2/25/2019,Cash
101-17-6199,Yangon,Normal,Male,Food and beverages,7,336.5565,3/13/2019,Credit card
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,2,160.44,1/30/2019,Ewallet
548-46-9322,Mandalay,Normal,Male,Food and beverages,10,418.95,2/20/2019,Credit card
505-02-0892,Mandalay,Member,Male,Health and beauty,8,357.588,2/25/2019,Ewallet
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,10,1003.59,1/16/2019,Cash
687-47-8271,Yangon,Normal,Male,Fashion accessories,10,1039.29,2/8/2019,Credit card
796-32-9050,Yangon,Normal,Male,Food and beverages,6,323.064,1/19/2019,Cash
105-31-1824,Yangon,Member,Male,Sports and travel,7,510.972,2/1/2019,Credit card
249-42-3782,Yangon,Normal,Male,Health and beauty,5,367.5525,1/3/2019,Ewallet
316-55-4634,Mandalay,Member,Male,Food and beverages,5,420.2625,1/26/2019,Credit card
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,8,175.14,3/3/2019,Cash
608-27-6295,Mandalay,Member,Male,Electronic accessories,6,333.207,1/19/2019,Credit card
414-12-7047,Mandalay,Normal,Male,Food and beverages,8,166.236,1/18/2019,Ewallet
827-26-2100,Yangon,Member,Male,Home and lifestyle,9,319.788,3/21/2019,Ewallet
175-54-2529,Yangon,Member,Male,Food and beverages,8,186.228,3/3/2019,Credit card
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,7,165.4485,2/13/2019,Credit card
407-63-8975,Yangon,Normal,Male,Food and beverages,6,465.444,3/23/2019,Ewallet
342-65-4817,Naypyitaw,Member,Male,Health and beauty,3,273.42,1/28/2019,Ewallet
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,7,472.311,2/9/2019,Cash
434-83-9547,Naypyitaw,Member,Male,Food and beverages,8,323.148,1/23/2019,Cash
851-28-6367,Yangon,Member,Male,Sports and travel,10,162.75,3/23/2019,Ewallet
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,8,288.204,1/25/2019,Ewallet
586-25-0848,Yangon,Normal,Female,Sports and travel,7,90.699,3/4/2019,Credit card
895-66-0685,Mandalay,Member,Male,Food and beverages,3,56.952,3/5/2019,Ewallet
305-14-0245,Mandalay,Member,Female,Home and lifestyle,8,793.716,3/3/2019,Ewallet
732-04-5373,Mandalay,Member,Male,Home and lifestyle,4,195.174,2/8/2019,Cash
400-60-7251,Yangon,Normal,Male,Home and lifestyle,1,77.7735,2/10/2019,Ewallet
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,4,293.202,1/28/2019,Credit card
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,3,242.676,2/11/2019,Credit card
437-58-8131,Mandalay,Normal,Female,Fashion accessories,2,154.392,1/15/2019,Ewallet
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,9,829.71,3/16/2019,Cash
641-43-2399,Mandalay,Normal,Male,Home and lifestyle,4,107.31,1/26/2019,Ewallet
831-07-6050,Yangon,Normal,Male,Electronic accessories,5,171.7275,3/19/2019,Credit card
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,1,78.0045,1/13/2019,Cash
848-24-9445,Naypyitaw,Member,Male,Health and beauty,2,91.77,3/26/2019,Cash
856-22-8149,Yangon,Normal,Female,Home and lifestyle,1,26.5545,3/23/2019,Ewallet
699-01-4164,Naypyitaw,Normal,Male,Health and beauty,4,174.3,3/12/2019,Credit card
420-11-4919,Naypyitaw,Member,Female,Food and beverages,5,374.7975,2/17/2019,Credit card
606-80-4905,Naypyitaw,Member,Female,Sports and travel,6,120.645,1/29/2019,Credit card
542-41-0513,Mandalay,Member,Female,Electronic accessories,4,241.458,3/15/2019,Cash
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,7,451.3635,1/14/2019,Cash
875-46-5808,Mandalay,Member,Male,Health and beauty,10,271.95,2/6/2019,Ewallet
394-43-4238,Mandalay,Member,Male,Home and lifestyle,5,93.2925,2/15/2019,Credit card
749-24-1565,Yangon,Normal,Female,Health and beauty,9,217.6335,1/3/2019,Ewallet
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,9,629.8425,1/4/2019,Credit card
263-87-5680,Naypyitaw,Member,Female,Home and lifestyle,10,299.565,3/18/2019,Ewallet
573-58-9734,Mandalay,Normal,Female,Fashion accessories,3,95.6655,3/28/2019,Ewallet
817-69-8206,Mandalay,Normal,Female,Electronic accessories,9,942.4485,3/2/2019,Credit card
888-02-0338,Yangon,Normal,Male,Electronic accessories,9,247.8735,1/25/2019,Ewallet
677-11-0152,Naypyitaw,Normal,Female,Food and beverages,9,881.307,1/16/2019,Cash
142-63-6033,Mandalay,Normal,Male,Home and lifestyle,5,484.89,3/20/2019,Ewallet
656-16-1063,Mandalay,Normal,Male,Sports and travel,3,146.223,1/4/2019,Credit card
891-58-8335,Mandalay,Member,Female,Sports and travel,7,217.6335,3/11/2019,Cash
802-43-8934,Yangon,Normal,Male,Home and lifestyle,1,19.194,3/22/2019,Credit card
560-30-5617,Mandalay,Normal,Female,Sports and travel,5,130.0425,3/24/2019,Cash
319-74-2561,Yangon,Member,Female,Electronic accessories,3,298.116,2/21/2019,Cash
549-03-9315,Mandalay,Normal,Male,Fashion accessories,8,796.908,2/12/2019,Ewallet
790-29-1172,Mandalay,Normal,Female,Food and beverages,3,180.621,3/10/2019,Credit card
239-36-3640,Mandalay,Normal,Male,Electronic accessories,6,285.705,1/31/2019,Ewallet
468-01-2051,Mandalay,Normal,Male,Food and beverages,7,456.288,3/6/2019,Ewallet
389-25-3394,Naypyitaw,Normal,Male,Electronic accessories,5,62.0025,2/17/2019,Cash
279-62-1445,Naypyitaw,Member,Female,Fashion accessories,1,13.167,2/21/2019,Cash
213-72-6612,Yangon,Normal,Male,Food and beverages,2,90.825,3/20/2019,Cash
746-68-6593,Naypyitaw,Member,Female,Sports and travel,2,183.036,1/11/2019,Credit card
836-82-5858,Mandalay,Member,Male,Health and beauty,9,655.5465,1/26/2019,Ewallet
583-72-1480,Naypyitaw,Member,Male,Electronic accessories,4,155.652,1/31/2019,Ewallet
466-61-5506,Mandalay,Member,Female,Electronic accessories,6,571.41,2/26/2019,Cash
721-86-6247,Yangon,Normal,Female,Home and lifestyle,8,532.728,3/11/2019,Ewallet
289-65-5721,Mandalay,Normal,Female,Fashion accessories,2,170.877,1/26/2019,Cash
545-46-3100,Mandalay,Member,Female,Electronic accessories,3,33.3585,3/12/2019,Credit card
418-02-5978,Mandalay,Normal,Female,Health and beauty,9,794.6505,2/11/2019,Cash
269-04-5750,Mandalay,Member,Male,Fashion accessories,4,310.044,2/21/2019,Cash
157-13-5295,Yangon,Member,Male,Health and beauty,10,545.37,3/9/2019,Ewallet
645-78-8093,Yangon,Normal,Female,Sports and travel,2,195.594,1/20/2019,Ewallet
211-30-9270,Naypyitaw,Normal,Male,Health and beauty,5,91.4025,1/28/2019,Credit card
755-12-3214,Naypyitaw,Member,Female,Fashion accessories,5,232.155,3/5/2019,Credit card
346-84-3103,Mandalay,Member,Female,Electronic accessories,5,69.405,3/2/2019,Cash
478-06-7835,Yangon,Normal,Male,Fashion accessories,1,94.1745,1/11/2019,Ewallet
540-11-4336,Yangon,Normal,Male,Food and beverages,9,235.683,1/11/2019,Credit card
448-81-5016,Yangon,Normal,Male,Health and beauty,2,125.517,3/11/2019,Credit card
142-72-4741,Naypyitaw,Member,Male,Fashion accessories,2,195.72,2/28/2019,Credit card
217-58-1179,Yangon,Member,Male,Home and lifestyle,4,263.13,1/5/2019,Cash
376-02-8238,Mandalay,Normal,Male,Home and lifestyle,8,788.508,2/2/2019,Credit card
530-90-9855,Yangon,Member,Male,Home and lifestyle,8,399.756,1/1/2019,Cash
866-05-7563,Mandalay,Member,Female,Electronic accessories,3,256.41,2/9/2019,Cash
604-70-6476,Yangon,Member,Male,Fashion accessories,5,94.185,1/23/2019,Ewallet
799-71-1548,Yangon,Member,Male,Electronic accessories,4,326.424,1/7/2019,Credit card
785-13-7708,Mandalay,Normal,Male,Food and beverages,7,536.991,1/14/2019,Credit card
845-51-0542,Mandalay,Member,Male,Food and beverages,9,439.8975,2/2/2019,Ewallet
662-47-5456,Naypyitaw,Member,Male,Fashion accessories,10,369.495,3/17/2019,Credit card
883-17-4236,Naypyitaw,Normal,Female,Sports and travel,2,30.219,3/2/2019,Credit card
290-68-2984,Yangon,Normal,Male,Home and lifestyle,4,99.75,3/16/2019,Cash
704-11-6354,Yangon,Member,Male,Home and lifestyle,8,494.76,1/6/2019,Cash
110-48-7033,Mandalay,Member,Male,Fashion accessories,4,137.004,1/29/2019,Cash
366-93-0948,Yangon,Member,Male,Electronic accessories,1,69.6675,1/31/2019,Credit card
729-09-9681,Yangon,Member,Male,Home and lifestyle,6,163.233,2/5/2019,Ewallet
151-16-1484,Yangon,Member,Male,Electronic accessories,4,135.45,2/13/2019,Ewallet
380-94-4661,Naypyitaw,Member,Male,Electronic accessories,4,276.948,2/7/2019,Credit card
850-41-9669,Yangon,Normal,Female,Electronic accessories,9,709.317,3/19/2019,Ewallet
821-07-3596,Naypyitaw,Normal,Female,Fashion accessories,4,69.09,3/7/2019,Ewallet
655-85-5130,Mandalay,Member,Female,Fashion accessories,4,160.86,3/13/2019,Cash
447-15-7839,Yangon,Member,Female,Sports and travel,10,233.52,2/9/2019,Cash
154-74-7179,Mandalay,Normal,Male,Sports and travel,1,57.1725,2/26/2019,Ewallet
253-12-6086,Yangon,Member,Female,Sports and travel,7,723.24,3/12/2019,Credit card
808-65-0703,Naypyitaw,Normal,Male,Home and lifestyle,4,148.974,3/14/2019,Credit card
571-94-0759,Mandalay,Member,Female,Food and beverages,10,783.3,1/8/2019,Cash
144-51-6085,Yangon,Member,Male,Home and lifestyle,4,297.108,1/5/2019,Credit card
731-14-2199,Yangon,Member,Female,Home and lifestyle,10,373.17,1/4/2019,Ewallet
783-09-1637,Mandalay,Normal,Female,Sports and travel,5,354.0075,3/6/2019,Ewallet
687-15-1097,Naypyitaw,Member,Female,Health and beauty,2,44.352,1/3/2019,Cash
126-54-1082,Yangon,Member,Female,Home and lifestyle,9,203.553,1/7/2019,Credit card
633-91-1052,Yangon,Normal,Female,Home and lifestyle,2,25.263,1/27/2019,Cash
477-24-6490,Mandalay,Normal,Female,Health and beauty,6,628.173,2/26/2019,Ewallet
566-19-5475,Mandalay,Normal,Male,Fashion accessories,7,352.5795,1/7/2019,Cash
526-86-8552,Naypyitaw,Member,Female,Home and lifestyle,10,229.11,1/7/2019,Cash
376-56-3573,Naypyitaw,Normal,Female,Fashion accessories,4,400.764,2/2/2019,Ewallet
537-72-0426,Naypyitaw,Member,Male,Fashion accessories,10,745.395,3/20/2019,Cash
828-61-5674,Yangon,Member,Male,Sports and travel,10,462.21,3/20/2019,Credit card
136-08-6195,Yangon,Normal,Female,Home and lifestyle,8,587.664,2/15/2019,Credit card
523-38-0215,Naypyitaw,Normal,Male,Home and lifestyle,1,38.85,3/6/2019,Credit card
490-29-1201,Yangon,Normal,Female,Sports and travel,1,16.107,1/6/2019,Cash
667-92-0055,Yangon,Member,Male,Health and beauty,6,628.929,3/4/2019,Ewallet
565-17-3836,Yangon,Member,Female,Health and beauty,4,200.214,3/12/2019,Cash
498-41-1961,Mandalay,Normal,Male,Health and beauty,5,350.07,2/20/2019,Cash
593-95-4461,Naypyitaw,Member,Male,Home and lifestyle,1,78.603,3/24/2019,Cash
226-71-3580,Naypyitaw,Normal,Female,Sports and travel,9,224.4375,1/31/2019,Cash
283-79-9594,Mandalay,Normal,Female,Food and beverages,7,356.5485,1/25/2019,Credit card
430-60-3493,Yangon,Member,Female,Home and lifestyle,7,697.368,2/3/2019,Cash
139-20-0155,Mandalay,Member,Male,Electronic accessories,10,423.15,1/24/2019,Credit card
558-80-4082,Naypyitaw,Normal,Male,Electronic accessories,7,204.6975,3/14/2019,Ewallet
278-97-7759,Yangon,Member,Female,Electronic accessories,1,65.604,2/18/2019,Cash
316-68-6352,Yangon,Member,Female,Food and beverages,2,76.356,1/21/2019,Cash
585-03-5943,Mandalay,Normal,Male,Health and beauty,10,190.155,3/13/2019,Ewallet
211-05-0490,Naypyitaw,Member,Female,Electronic accessories,5,272.58,3/3/2019,Cash
727-75-6477,Naypyitaw,Normal,Male,Electronic accessories,4,121.128,3/29/2019,Cash
744-02-5987,Yangon,Member,Male,Home and lifestyle,6,493.794,1/10/2019,Ewallet
307-83-9164,Yangon,Member,Male,Home and lifestyle,4,252.042,1/25/2019,Cash
779-06-0012,Naypyitaw,Member,Female,Home and lifestyle,1,93.0405,1/19/2019,Cash
446-47-6729,Naypyitaw,Normal,Male,Fashion accessories,2,209.622,1/2/2019,Credit card
573-10-3877,Mandalay,Member,Male,Health and beauty,1,40.9605,3/12/2019,Credit card
735-06-4124,Naypyitaw,Normal,Male,Food and beverages,1,51.0405,2/25/2019,Cash
439-54-7422,Yangon,Normal,Female,Electronic accessories,4,214.998,3/18/2019,Credit card
396-90-2219,Mandalay,Normal,Female,Electronic accessories,8,125.664,2/23/2019,Cash
